epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.67954,1.85203,3.05859,2.1358,0.00267,0.8,0.04191,0.01794,1.84581,3.75972,2.60148,6e-05,2e-05,6e-05,2e-05,6e-05,2e-05,6e-05,2e-05
2,5.56675,1.7656,2.99111,1.98896,0.00333,1,0.04015,0.02144,1.75857,3.82237,2.57087,0.000179644,5.98812e-05,0.000179644,5.98812e-05,0.000179644,5.98812e-05,0.000179644,5.98812e-05
3,7.33356,1.73164,3.20441,2.03847,0.00333,1,0.04056,0.01548,1.86033,3.79592,2.61849,0.000298812,9.9604e-05,0.000298812,9.9604e-05,0.000298812,9.9604e-05,0.000298812,9.9604e-05
4,9.04153,1.77263,3.04832,2.04046,0.00267,0.8,0.03395,0.01574,1.88778,3.78369,2.62382,0.000417505,0.000139168,0.000417505,0.000139168,0.000417505,0.000139168,0.000417505,0.000139168
5,10.7264,1.86672,3.19464,2.11116,0.00333,1,0.02097,0.01046,1.89864,3.82152,2.55258,0.000535723,0.000178574,0.000535723,0.000178574,0.000535723,0.000178574,0.000535723,0.000178574
6,12.3833,1.72857,3.03222,2.04879,0.00333,1,0.01871,0.00986,1.76028,3.95351,2.3816,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822
7,13.9883,1.80711,2.9949,2.0771,0.00333,1,0.02389,0.01304,1.78965,3.89034,2.32199,0.000770734,0.000256911,0.000770734,0.000256911,0.000770734,0.000256911,0.000770734,0.000256911
8,15.708,1.52549,3.023,1.74016,0.00333,1,0.02902,0.01444,1.76183,3.86532,2.31254,0.000887526,0.000295842,0.000887526,0.000295842,0.000887526,0.000295842,0.000887526,0.000295842
9,17.4251,1.45417,2.92104,1.77578,0.00333,1,0.02902,0.01507,1.75212,3.84963,2.29252,0.00100384,0.000334614,0.00100384,0.000334614,0.00100384,0.000334614,0.00100384,0.000334614
10,19.1272,1.56153,2.94426,1.8849,0.00333,1,0.02927,0.01452,1.7784,3.76787,2.29862,0.00111969,0.000373228,0.00111969,0.000373228,0.00111969,0.000373228,0.00111969,0.000373228
